Museum,Catalog no.,Genus,Species,Sex,Country,State/Region,SKL,BCL,FL,PL,PW,GULW,ZW,POP,POC,MCW,I3-I3,C1-C1,MB,CB,OCB,I3AP,I3ML,C1AP,C1ML,P3H,P3L,P4BP,P4L,P4-C1,c1H lower,c1AP,c1ML,p3H,p3L,p3B,p4H,p4L,p4B,m1L,m1B,MAT,MAM,MFL,MM1,MC1,JDM1,JBM1,JDP4,JBP4,SYML
MVZ,78222,Puma,concolor,female,U.S.,Montana; Cabinet ridge,167.6,48.6,66.2,42,68.2,54,112.2,58.1,39.5,68.3,21.4,46,59.5,38.4,73.8,5.9,4.7,12.3,9.6,9.5,13.9,9.4,19.5,52.4,20.7,10.6,9.3,7.3,11.5,6,9.9,13.5,7.4,14.4,7.4,31.5,17,40.6,54.2,105.7,21,11,19.4,10.2,31.8
MVZ,84196,Puma,concolor,unknown,U.S.,Idaho; Selway Natl. forest,168.1,48.4,68.8,41.8,70.6,54.4,114.6,56.7,41.7,71.7,22.6,46.1,59.7,37.7,72.9,6,4.8,11.7,9.2,9.4,15.9,10.3,21.6,53.2,21.3,11,8.2,7.4,13.1,5.6,10.4,14.7,7,17.3,7,29.3,15.2,42.4,55.7,107.1,19.9,10.9,19.6,10.6,32.7
MVZ,53567,Puma,concolor,unknown,Canada,British Columbia; Kleena kleene river,173.4,52.6,69.2,44,65.8,52.7,117.7,64.1,41.8,70.4,18.5,44.2,58.2,36.7,73.9,5.5,4.5,11.3,9.5,9.7,14.3,9.8,20.4,49.9,21.8,11.3,8,8.3,11.2,6,9.6,13.4,6.9,15.2,6.6,35.1,16.3,55.5,59.2,108.3,21,10.4,20.1,10.4,34.5
MVZ,175990,Puma,concolor,male,U.S.,California; Livermore,182.1,57.5,71.6,45.7,70.1,57.2,117.7,61.9,44.1,71.6,23.9,49.5,57.1,35.1,76.9,6.9,5.4,12.8,10.9,10.1,16,11.6,23.4,57.5,24.3,13.2,9.8,8.8,12.9,7.3,11.8,16.2,8.3,17.4,9,30.7,16.1,42.8,56.5,112.7,20.8,12.6,19.8,11.6,37.1
LACM,30611,Puma,concolor,unknown,,,182.7,88.9,78.5,46.6,82.6,60.4,133.3,74.9,41.7,72.6,22.8,54.1,63.9,40.1,81.5,6,4.4,13.2,11.4,11.4,14.8,11.1,21.6,60.4,23.4,11.9,9.1,9,12.6,7,11.5,14.8,8.3,16.3,8,39,21.4,52.2,67.3,121.1,22.9,11.9,22.3,11.9,38.5
LACM,20105,Puma,concolor,unknown,,,183.1,90.6,77.9,51.9,76.6,63.6,141.4,82.4,42.9,74.8,23.9,54.8,62.3,42.1,82.9,6,4.7,12.3,10.2,9.1,14.6,10.9,22.7,62.1,24.7,12.1,9.1,7.7,12.4,5.8,10,14.9,7.5,16.7,7.7,42.7,29.7,57.1,68.7,121.9,24.3,13.2,23.3,12.3,39.2
MVZ,154389,Puma,concolor,male,U.S.,Nevada; Ward Mnts.,185,58.7,70.5,44.8,72.8,60.1,126.4,67.6,43.4,69.5,21.6,48.2,61.1,40.7,77.4,5.5,4.7,12.2,9.6,9.7,14.9,11.5,20.2,55.7,20.8,11.9,8.5,7.9,12.4,6.1,9.8,14.8,7.7,15.5,7.4,34.6,21.3,50,63,117.3,24.3,12.4,22,11.8,37.5
MVZ,154396,Puma,concolor,female,U.S.,Nevada; Eastern Nevada,186.9,57.6,73.5,48.9,75.1,59.4,131,75.7,46.9,72.1,21,49.4,61,39.4,80.8,5.7,4.8,12.3,10.2,8.3,14.7,10.8,20.5,56.8,19.4,11.9,8.6,8.1,12.8,6.2,9.9,15,7.5,15.4,7.2,38.1,20.7,55.1,64.5,120.4,23.6,12.9,23.1,12.2,39.1
MVZ,51843,Puma,concolor,male,U.S.,Idaho; Pocatello,192,57.4,75.3,48,75.5,59.6,133,67.4,44.9,72,23.9,54,65.3,39.5,85.4,6.1,6,13,10.8,9.8,15.2,11.3,22.2,57.5,23.6,12.3,8.9,8.2,12.4,6.7,10.8,14.9,8,16.5,7.6,37.7,20.8,53.4,65.2,123.3,25.1,12.5,23.5,12.1,39.4
MVZ,175989,Puma,concolor,male,U.S.,California; Kernville,201.9,60.8,78.7,50.5,76.2,60.2,148.8,71.9,40,74.7,22.2,52.5,65.1,41.7,86.2,6.2,4.8,13,10.4,9.8,14.8,11.2,20.8,57.4,24.1,12.1,8.9,8.6,11.8,6.4,10.7,14.4,7.6,15,7.3,40.7,25.3,58.6,71.2,127.3,26,13,24,12.8,39.5
MVZ,154386,Puma,concolor,male,U.S.,Nevada; Eastern Nevada,206,59.8,80.7,52.8,80.4,59,148.7,79.1,44.1,75.2,23.4,56,63.1,42.6,82.3,5.8,5.1,14.9,11.6,9.6,16.4,11.9,21.8,61.4,22.9,13.7,10.1,8.1,13.4,6.4,10.2,15.4,7.6,18.1,7.7,44.3,23.4,58.1,73.6,132.6,25.5,13.3,23.3,12.6,40.4
MVZ,53561,Puma,concolor,unknown,Canada,British Columbia; One eye lake,207.6,62.3,81.6,52.8,79.4,59,151.6,75.4,42,75.7,23,55,67,39.9,86.5,6.1,4.6,13,10.6,11,14.5,11.1,21.6,59,23.6,12.5,9.2,8.7,12.5,6.5,10.9,14.3,7.4,16.8,7.1,40.7,24.3,67.8,74.2,130.3,24.9,12.3,22.4,12.3,39.9
MVZ,21956,Puma,concolor,unknown,Argentina,Santa Cruz; Arroyo Chalia,224.2,67.2,98.5,58.3,86.3,65.6,151.5,72.3,45.4,82.4,32.6,67.6,73,46.1,94.4,8.3,8,18.1,16.4,12.2,18.6,13.7,27,72.3,31.1,17.8,12.7,9.1,15,8.9,13.5,18.3,10.3,22.3,10,42,27,62.4,73.6,143.4,28.7,14.7,29.2,14.5,47.9
MVZ,81547,Puma,concolor,unknown,U.S.,Montana; Bitterroot river,224.7,68,90,67.4,85.7,64.9,155.3,83.8,46.7,79.1,24.2,59,74.6,42.3,93.8,6.5,5.2,14.8,12.3,10,15.4,12.3,22.9,64.7,24.8,14.1,10.6,9.1,13.2,6.8,11.1,15.2,8.5,17.7,8.8,45.7,27.3,73.5,79,144.9,27.6,15,25.4,14.6,42.3
LACM,92543,Puma,concolor azteca,female,U.S.,Arizona,164.3,74.1,70.9,45.9,77.5,56.5,128.2,72.8,45.2,71.6,20.6,50.4,57.3,40,77,5.8,4.7,11.9,9.6,8.8,13.4,11.4,20.9,56,20.3,10.2,8.3,8.7,12.2,6.4,10.1,14.6,7.3,16.1,8.2,33.3,21.7,48.6,59.6,107.3,22.2,11.5,20.1,10.6,33.1
USNM,117074,Puma,concolor azteca,female,Mexico,Chihuahua,168.1,52.3,72.8,42.2,67.4,55.7,118,63.1,44,68.8,19.8,43.6,58.5,39,73.6,5.4,5.2,10.4,9,8.9,13.7,9.7,19.4,53.9,16.9,10.4,8.3,7.3,12.2,6.2,9.5,13,7.1,14.3,7.7,30.1,17.7,43.1,58.5,110.8,19.7,10.7,18.1,10.1,31.4
USNM,117075,Puma,concolor azteca,female,Mexico,Chihuahua,172.4,55.3,72.9,44.5,73.4,56.7,127.4,71.8,42,70.9,20.9,44.9,60.2,39.1,73.3,5.6,4.5,10.5,9,8,14.2,10.1,20.1,55,16.7,10,7.7,6.6,11.9,6.2,9.1,13.1,7.3,15.6,7.7,31.2,18.6,48.6,62.9,114.4,20.6,11.5,19.8,11,32.8
USNM,99661,Puma,concolor azteca,female,Mexico,Chihuahua,178.7,51.7,69.9,45.4,69,53.1,116.8,67.8,43.6,70.9,19,45.2,59.4,38.2,73.5,5.9,4.8,12,9.6,8.9,14.5,10.8,19.8,53.9,19.8,11.4,8.3,7.3,12.4,6.7,9.7,13.5,7.8,16.1,7.8,30.6,18.5,41.3,61.5,113.3,20.5,11.4,19,10.1,34.6
USNM,117076,Puma,concolor azteca,male,Mexico,Chihuahua,190.8,56.3,80.9,52,78.3,55.9,127.2,72.6,43.5,73.8,23,51.4,62.3,40.2,82.1,6.6,5.6,13,11,9.2,16.5,11.9,22.4,62.2,22.4,12.6,9.7,8.1,13.7,7.2,9.9,14.8,7.8,16.9,8.3,36.8,22.5,47.7,64.8,126.4,21.4,12.4,20.3,11.7,36.7
USNM,99660,Puma,concolor azteca,male,Mexico,Chihuahua,191.5,56.3,76.4,50.2,78,58.2,135.8,67.1,38.3,74.1,23.6,51.4,59.3,37.5,79,6.1,5,12.5,10.3,9.3,14.8,10.9,23,59.3,21.9,12.8,9.4,8.1,12.5,6.8,9.9,14.4,7.8,15.8,8.1,42.9,22.5,55,67.9,123.5,23.6,12.2,22.2,12.3,38
USNM,99659,Puma,concolor azteca,male,Mexico,Chihuahua,199.7,57.6,78.6,49.7,78.2,60.8,141.9,76.9,41.2,73.8,21.7,53.7,66.1,42.2,85.7,5.6,4.6,12.7,10.5,8.2,15,11.4,22,60.5,20,12.5,9.2,7.9,12.9,6.4,10.1,14.8,7.5,16.1,8,40.8,24.5,55,70.8,131.7,26.4,12.2,24.4,12.4,39
USNM,100120,Puma,concolor capricornensis,unknown,Brazil,,163.3,40.5,67.3,41.9,66.7,51.9,112,60.7,41.2,67.3,22.6,43.8,53.9,36.9,63.3,6.3,5.6,10.6,9,8.3,14.3,10.7,21.8,53.6,19,10.4,8.3,7.5,11.5,6.2,9.7,14.8,7.4,16.9,7.5,28.4,19.8,42.5,50.8,103.8,18.8,9.1,18.3,9.2,34.3
USNM,100118,Puma,concolor capricornensis,unknown,Brazil,Sao Paulo; Piracicaba,203.6,61.1,80.4,49.4,78.2,63.1,138.8,72.9,40,75.4,24.1,52.5,69.2,45.4,84.3,6.7,6.5,11.9,10.4,9.9,15.7,11.6,22.8,60.4,21.8,12.2,9.2,8.3,13.2,6.7,10.5,15.7,8.1,16.7,8.9,39.3,22.8,51.5,68.3,128.2,23.8,12.8,23.3,11.9,36.9
USNM,406530,Puma,concolor concolor,female,Venezuela,Bolivar,164.1,47.2,67.4,39.1,63.6,47.1,109.4,63.1,40.3,63,22.1,41.9,52.6,35.7,66.7,5.9,5.4,10.9,9.2,8.8,13.8,10.6,19.6,50,19,11,8.3,7.3,11,6.1,10,13.5,7.5,15.7,8,27.1,18.4,40,53.4,102.1,18.2,10.4,18,9.9,32.6
USNM,137040,Puma,concolor concolor,unknown,Venezuela,Caura Valley,176,54.8,74.2,43.2,72.5,50.5,116.5,65,38.1,68.3,23.4,48.4,61,40,73.2,6.7,5.5,12.9,10.5,9.1,15,11.7,22,58.2,24.6,12.1,8.8,7.1,11.9,6.6,10.3,14.8,7.7,16.5,8,29.8,17.8,43.8,56,112.8,20.7,11.2,20.6,9.8,34.9
USNM,172990,Puma,concolor costaricensis,female,Panama,Chiriqui,158.6,50,59.5,37.1,67.8,52.1,114.2,71.5,44,67.1,19.1,43.3,53.3,36.7,70.7,6.8,5.2,10.2,8.8,8.2,12.8,9.7,18.4,50.1,17.2,9.9,7.7,6.7,10.3,5.8,8.8,13.7,6.6,14.1,6.8,28.1,19,42.4,53.6,101.8,19.1,9.6,18.4,9.1,33.1
USNM,296341,Puma,concolor costaricensis,male,Panama,Canal zone,171.1,49.1,67.3,40.7,70.4,50.6,118.3,67.7,44.1,66.1,22.1,46.1,58.3,37.3,71.3,6.5,5,10.9,9.5,9.9,13.5,9.7,20.9,53.1,21,10.7,9.1,7.4,10.6,5.9,10.1,13.4,7,15,7.5,33.2,20,45,55.7,106.6,18.3,11,17.8,10.2,32
USNM,61193,Puma,concolor costaricensis,unknown,Costa Rica,,174.2,53.8,67,40.7,64.2,52.6,117.9,74,42.6,64.9,21,41.1,57.6,37.4,72.5,5.4,5.6,9,8.3,8.6,13.3,9.8,19.4,51.2,17.4,9.4,7.1,6.3,10.6,5.6,9.1,13,6.4,14.8,6.9,29,20.6,51.4,61.4,113.1,21.3,9.2,20.5,8.6,33.5
USNM,A15967,Puma,concolor costaricensis,unknown,Costa Rica,Pacuare,183.3,54.7,70.9,43.9,68.7,53,133.7,73.8,37.1,68.9,22.6,49.6,59.3,39.7,76.6,5.8,5,12.5,10.6,8.8,14.2,10.2,21.7,54.9,22.6,11.8,9,7.1,12.1,5.6,9.8,14.1,7.2,16.7,7.4,33.7,22.4,52.7,60.5,117.1,21.9,11.7,20.5,10.6,35.6
USNM,303017,Puma,concolor costaricensis,unknown,Panama,Panama,184.6,57.4,74.2,42,72,54.6,127.9,70.1,38.7,69.9,23.1,47.9,63.7,40.6,79.3,6.2,5.3,12.6,10.2,9.5,13.8,10.4,21.8,51.4,24,10.1,8.7,7.3,11.2,6.7,10.6,14.3,8.1,16.6,7.8,34.1,24.6,48.2,59.2,114,22.3,11.6,19.7,11.1,34.3
USNM,61194,Puma,concolor costaricensis,unknown,Costa Rica,,194.5,58.7,74.8,43.6,74.3,57.3,129.7,73.5,42.3,72.9,24.5,49.2,63.7,42.1,77,6.5,6.2,13,10.3,10.3,16,11.6,22.1,57.4,22.2,12.4,9.5,8,12.5,7.5,11.1,15.6,8.7,17.3,8.6,34.2,21.3,53.4,63.8,119.7,21.6,11.6,21,10.2,37.7
USNM,442901,Puma,concolor costaricensis,male,Venezuela,Tachira,204.4,60.2,82.6,50.7,72.7,57.1,140.3,70.3,41.8,72.7,25.6,51.8,61.2,40.6,84.6,6.6,6,12.5,10.6,10,14.6,11.1,21.5,57.2,23.5,11.9,10,8.3,11.8,6.6,10.7,15.6,8,15.9,7.4,41.4,23.7,57.4,71.1,131,25.9,13,23.8,12.6,39.3
LACM,92552,Puma,concolor hippolestes,unknown,U.S.,Idaho/Utah/Wyoming,,,,,,,,,,,,,,,,5.7,4.8,11.8,9.7,10,15.3,10.5,21,59,22.5,11.2,8.2,8.5,12.1,6.3,11.2,14.7,7.3,16.4,7.4,38.6,21.1,50.4,63.4,113.5,23,12.3,20.5,11.1,39.1
LACM,92551,Puma,concolor hippolestes,unknown,U.S.,Idaho/Utah/Wyoming,175.4,83.5,73.8,44.5,76.7,58.9,134.8,67.8,38,70.8,21.8,50.9,61.4,38,83.1,6.2,4.9,11.7,9.4,8.8,14.8,10.9,21.2,57,22,11.5,7.9,7.5,12.5,6.5,9.8,14.4,7.4,14.9,6.7,40,20.8,54.1,61.8,114.8,21.3,11,20.8,10.7,36.7
LACM,92548,Puma,concolor hippolestes,female,U.S.,Idaho/Utah/Wyoming,180,87.3,75.1,51.5,80.7,61.9,142.2,72.9,44.6,73.3,23.2,54,59.4,39,85.1,5.8,5.1,12.8,10.8,10.1,14.7,10.5,21.3,59.1,25,12.4,8.8,7.6,12.7,6.3,10,14.7,7.7,15.7,7.3,44.8,23.2,53.6,69.6,126.1,24.9,13.7,24.4,13,37.2
LACM,92553,Puma,concolor hippolestes,unknown,U.S.,Idaho/Utah/Wyoming,191.2,87.5,82.2,52.8,83.9,63.8,144.5,74.1,43.8,76.6,25.1,58.9,67.1,41.8,91.7,6.6,5.1,14.4,11.8,10.1,15.8,11.4,23,61.9,29.1,14,9.7,9.1,13.4,7.3,10.9,15.3,8,17.2,7.8,41.4,25.5,56,68.3,128.4,26.4,15.3,24.8,13.8,40.2
USNM,274682,Puma,concolor incarum,female,Peru,Puerto Maldonado,173.5,50.8,66.3,41.7,66.7,49.3,114,67.1,34.6,64.5,20.6,45.1,59.6,37.4,70.3,5.6,4.7,10.6,8.9,8.5,14.7,9.2,20.1,52.2,18.5,10.1,8.1,6.4,11.3,5.1,9.4,14.3,6.7,15.5,7.1,34.2,18.1,44.7,55,108.3,20.8,10.3,19.4,9.8,33.5
LACM,92554,Puma,concolor mayensis,female,Belize,,177,70.1,70.7,43.6,67.4,48.9,123.5,67.9,42.8,67.7,22.3,47.5,59.5,,74.1,5.3,4.9,11.3,9.5,8.8,13.9,10,20.6,56.7,22.2,11.6,8.1,6.8,11.6,6.2,8.6,14.5,7.5,15.1,7.7,33.5,23.1,46.9,58.8,110.3,20.9,10.2,21.1,9.9,34.9
MVZ,53562,Puma,concolor missoulensis,unknown,Canada,British Columbia; Kleena kleene river,180.2,54.9,69.1,44.3,70.8,56.5,123.8,62.2,38.8,70.2,22.5,45.9,61.9,36.9,78.4,5.6,4.3,11.6,9.3,10.3,14,9.9,20.9,53.2,20.4,10.9,8.2,8.1,10.7,5.9,10.6,13.6,6.6,15.1,7,33.8,17.3,54.9,61.6,114.3,20.7,10.6,18.2,10.6,33.9
USNM,249297,Puma,concolor missoulensis,unknown,Canada,Alberta,190.1,46.9,74.6,37.8,76,59.8,140.1,74.2,45.7,76.2,22.4,52.4,48,35,83.1,6.1,5,12.5,10.8,8.9,14.6,9.6,20.3,54.7,21.5,11.9,9.2,8.9,13,7.2,11.1,14.9,7.7,16.3,8,36.3,20.4,55.9,68.3,124.8,23.1,12.1,20.9,12,37.1
USNM,225045,Puma,concolor missoulensis,unknown,Canada,British Columbia; Edgewood,190.7,55.6,74.9,46.8,73.8,59.4,127.5,71.7,45.1,73.4,22.7,50.9,65.1,39.7,81.5,6.1,4.9,12.9,10.4,10.3,15,11.5,22.1,59.8,23.8,13.2,10.7,8.7,12.6,6.9,11.4,14.6,7.9,16.8,8.3,36.2,18.3,51.1,65.4,122.4,23.7,11.9,21.5,12.2,35.8
USNM,225046,Puma,concolor missoulensis,unknown,Canada,British Columbia; Edgewood,197,59.6,78.6,49.1,80.6,61.5,137.7,68.9,40.4,73,22.5,55,67.9,39.3,82.6,6.8,5.3,14.2,11.4,11.5,16.2,11.9,22.3,59.2,26,13.6,10.9,8.8,13.5,7.1,12,15.9,9,17.5,8,41.3,21.3,52.3,69,129.1,24.7,12.5,23.1,12.6,37.8
USNM,551639,Puma,concolor missoulensis,male,Canada,British Columbia; Windermere,220.8,55.1,86,54.5,87.9,71,160.4,82.3,45.4,84.9,25.2,60.9,73,44.1,92.2,8.6,5.6,15.7,12.7,9,16.6,12.6,21.8,63.5,26.6,14.3,12.1,9.8,13.4,7.6,10.9,16.3,8.7,18.2,8.8,48.5,27.6,68.3,83.1,148.8,28.2,13.8,25.5,13.8,43.2
USNM,551637,Puma,concolor missoulensis,male,Canada,British Columbia; Kootnay,225.4,68.2,87,57.1,86.2,67.7,160.2,81.2,43.2,74.4,22.5,59.9,67.4,40.8,93,6.6,5.5,15.4,11.6,10.8,16.6,10.9,23,63.6,26.5,13.7,11.2,9.2,14.4,7.9,11.6,15.4,8.4,16.1,8.1,46.4,22.8,66.5,80.5,144.9,28.5,13.3,24.9,12.7,44.1
USNM,551638,Puma,concolor missoulensis,unknown,Canada,British Columbia; Windermere,226.1,68.1,91.9,57.9,88.1,71.2,158.4,87,45.1,78.4,24.4,61.1,75,42.5,93.1,5.9,5.8,15.7,12.8,10.2,15.8,11.7,22.3,64.8,25.6,14.5,10.9,9,13.4,7.5,11.5,15.6,8.2,17,8.5,48.2,30.2,73.6,87.1,152.9,27.7,14.6,26.2,14.8,42.8
USNM,322854,Puma,concolor osgoodi,unknown,Bolivia,Ayoayo,187.4,54.5,77.9,46.5,72.3,53.3,125.2,73.9,50.2,72.1,24.8,52.6,61.5,38.4,74.7,7,6.4,12.9,10.9,9.2,16.7,11.7,22.1,57.4,22.5,13.8,10.4,7.5,12.8,6.5,10.5,16,7.4,17.3,7.6,38.3,21.6,54.9,64.1,122.7,25,12.1,22.9,11.6,36.9
USNM,A20918,Puma,concolor pearsoni,unknown,Argentina,Santa Cruz; Patagonia,184.2,59.7,73.8,45,74,56.1,125.2,65,39,67.2,24.5,51,57.3,37.5,77.6,6.7,5.7,13,10.7,9.7,14.4,10.9,22.8,58.1,21.3,11.7,9.4,7.3,12.5,7,10.9,15.1,8.2,17.6,8,39.6,21.8,49,64.6,120.1,22.7,11.8,21.3,12.3,39.2
USNM,100117,Puma,concolor pearsoni,female,Argentina,Santa Cruz; Patagonia,189,50.3,78.8,49.4,74.1,54.8,129.8,72.8,36.9,70.2,26.6,53.3,61.8,40.9,80.5,5.9,5,11.7,10.8,9.1,15.6,10.3,22.5,59.4,20.5,12,9.6,6.9,12.7,6.1,9.8,15.8,7.7,16.9,8.3,35.1,21.4,50.7,62.1,120.1,25,12.5,24.3,12.1,39.1
USNM,199465,Puma,concolor pearsoni,unknown,Argentina,Coy Inlet,201.5,61.8,80.8,50.1,78.2,56.7,138.3,79.2,44.7,75.4,26.8,54.8,66.9,39.9,83.6,7.9,6.7,13.7,12.1,9.4,15.7,12.1,23.8,63.6,22.1,13.1,10.6,7,13,6.9,10.7,15.7,8.4,18.4,8.1,40.1,24.2,52.9,66.1,129.6,27.4,14.2,25.9,14.3,38.4
USNM,113253,Puma,concolor pearsoni,unknown,Argentina,Chubut; Patagonia,207.1,64.4,86.5,55,85.3,64.6,148,72.3,44.9,79.5,27.4,62.7,68.1,42.3,91,7.5,6.8,15.6,14.9,10.1,17.8,13.2,24.3,62.9,22.7,12.9,10.4,7.6,12.5,6.5,10.5,15,7.7,18.3,8.4,41.9,30.1,61,72.5,135.5,25.2,13.1,25,13.1,39.7
USNM,100119,Puma,concolor pearsoni,unknown,Brazil,,211.4,62.8,86.6,53.1,86.8,59.2,143.5,73.8,44.2,76.6,29.4,64.9,68.9,43.5,89.1,7.8,6.6,17.6,14.3,11.3,17.3,12.7,26.2,67.7,,,,,,,,,,,,,,,,,,,,,
USNM,291141,Puma,concolor puma,unknown,Chile,Valparaiso,196.9,59.7,77.7,48,69.3,55.9,146.4,89.2,47.3,74.8,25.2,51.8,59,39.1,82.6,5.8,5.7,11.9,10,7.5,13.6,10.5,21.8,60,19.3,10.9,8.5,6.7,11.2,5.8,9.4,14.4,6.8,16.6,6.7,41.7,22.2,56.9,69.1,127.4,23.8,12.1,21,12.2,36.6
USNM,211493,Puma,concolor vancouverensis,female,Canada,Vancouver Island,184.7,51,73.5,47.9,73.9,57.6,125.3,70.4,40.3,70.2,21.8,48.5,64.8,40,76.9,5.3,4.7,12.4,10,8.9,15.3,11,22,57,22,11.4,8.4,7.6,12.5,5.6,9.4,14.5,6.6,15.6,7.3,36.4,21.2,48.7,64.2,119.8,22.1,11.5,21,10.8,36.7
USNM,56176,Puma,concolor vancouverensis,female,Canada,Vancouver Island,192.8,62.6,74.1,47.5,78.1,56.2,135.8,80.2,44.9,74.8,22.2,51.3,59.9,38.9,77.6,5.6,5,12.9,10.4,9.3,16,11,21.9,58.1,20.2,11.7,8.7,7.6,12.7,5.8,9.6,14.9,6.7,15.8,7.6,38.9,23.4,56.3,67.8,125.5,22.9,11,22.1,11.3,35.6
USNM,211492,Puma,concolor vancouverensis,male,Canada,Vancouver Island,201.4,64.8,78.7,51.9,79.8,60.8,134.7,67.5,39.2,75.2,23.9,54.7,67.5,39,84.5,6.4,5.7,15.6,12.6,10.7,17.5,12.5,23.9,62.4,25.7,13.8,10.5,8.5,14.2,6.8,10.6,16.6,7.9,17.3,8.3,42.5,24.3,57,69,133.2,25.5,11.8,24.4,12,41.5
USNM,211521,Puma,concolor vancouverensis,male,Canada,Vancouver Island,214.5,65.5,82.3,55.6,82,59.4,145.7,78.6,42.8,75.8,23.8,56.9,69.5,43,88.5,6.7,5.5,15,12.5,8.7,17.2,12.6,23.6,65.6,25.6,14.7,11.2,8.8,14.2,7,11,16.2,7.8,18.5,8.8,46.8,26.3,60.5,76,140.2,26.5,13.3,24.3,12.7,44.2
